# g4beamline profile
#Z N meanX sigmaX meanY sigmaY emitX emitY emitTrans betaX betaY betaTrans alphaX alphaY alphaTrans meanP
#mm - mm mm mm mm mm-rad mm-rad mm-rad mm mm mm - - - MeV/c
1580.0 2 242.309 253.237 105.592 82.775 0.0002389 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1585.0 2 243.754 256.354 110.241 80.626 0.0001194 2.986e-05 6.315e-05 4.914e+10 4.861e+09 2.7e+10 -1.662e+08 -1.761e+07 -9.191e+07 35.6
1590.0 2 244.299 260.370 114.531 78.836 -nan(ind) 2.586e-05 4.223e-05 7.58e+10 6.949e+09 4.138e+10 -2.638e+08 -2.769e+07 -1.457e+08 35.6
1595.0 2 244.078 265.152 118.228 77.638 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1600.0 2 243.282 270.510 121.145 77.218 0.0002926 4.223e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1605.0 2 242.147 276.206 123.155 77.705 0.0002926 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1610.0 2 240.935 281.979 124.199 79.156 -nan(ind) 5.172e-05 9.146e-05 4.106e+10 3.236e+09 2.215e+10 -1.406e+08 -1.934e+07 -7.999e+07 35.6
1615.0 2 239.914 287.562 124.295 81.555 -nan(ind) 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1620.0 2 239.335 292.702 123.531 84.813 0.0001689 5.172e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1625.0 2 239.417 297.182 122.062 88.775 -nan(ind) 4.223e-05 7.51e-05 5.555e+10 4.957e+09 3.026e+10 -1.665e+08 -3.236e+07 -9.942e+07 35.6
1630.0 2 240.326 300.835 120.095 93.233 0.0002389 -nan(ind) 0.000102 4.193e+10 4.027e+09 2.298e+10 -1.184e+08 -2.577e+07 -7.208e+07 35.6
1635.0 2 242.166 303.557 117.877 97.941 -nan(ind) -nan(ind) 0.0001088 4.003e+10 4.167e+09 2.21e+10 -1.062e+08 -2.562e+07 -6.59e+07 35.6
1640.0 2 244.970 305.314 115.671 102.637 -nan(ind) 5.972e-05 6.609e-05 6.664e+10 7.53e+09 3.708e+10 -1.661e+08 -4.367e+07 -1.049e+08 35.6
1645.0 2 248.698 306.149 113.739 107.056 0.0002069 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1650.0 2 253.238 306.172 112.325 110.958 0 5.972e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1655.0 2 258.417 305.556 111.628 114.141 0.0002069 4.223e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1660.0 2 264.016 304.520 111.797 116.457 0.0002069 4.223e-05 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 35.6
1665.0 1 -33.535 0.000 -4.914 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1670.0 1 -26.762 0.000 -3.255 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1675.0 1 -20.699 0.000 0.191 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1680.0 1 -15.807 0.000 5.161 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1685.0 1 -12.457 0.000 11.279 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1690.0 1 -10.904 0.000 18.079 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1695.0 1 -11.266 0.000 25.046 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1700.0 1 -13.516 0.000 31.649 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1705.0 1 -17.482 0.000 37.389 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1710.0 1 -22.862 0.000 41.828 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1715.0 1 -29.249 0.000 44.631 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1720.0 1 -36.156 0.000 45.586 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1725.0 1 -43.061 0.000 44.622 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1730.0 1 -49.439 0.000 41.814 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1735.0 1 -54.808 0.000 37.376 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1740.0 1 -58.764 0.000 31.645 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1745.0 1 -61.009 0.000 25.057 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1750.0 1 -61.375 0.000 18.109 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1755.0 1 -59.837 0.000 11.325 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1760.0 1 -56.512 0.000 5.219 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
1765.0 4 -48.044 5.567 82.468 47.541 30.59 123.7 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 3.907
1770.0 2 -44.367 1.258 50.488 53.700 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 5.915
1775.0 3 -47.588 6.160 72.249 54.648 11.94 71.95 0.006805 8.557e+04 6.736e+06 3.411e+06 -6528 670.5 -2929 10.25
1780.0 1 -31.939 0.000 -4.699 0.000 0 0 0 -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) -nan(ind) 9.588
